player_id,Name,height_cm,weight_kg,score,rebounds,assists,steals,blocks,overall_hit_rate,three_point_hit_rate,offence_score,defence_score,overall_score,jersey_number,position,team,wages
107,Jakob Poeltl,213,104.3,5.3,4.9,1.2,0.2,0.7,0.597,0.000,55,55,55,25,C,Spurs,3
108,Pau Gasol,213,113.4,4.4,5.2,2,0.1,0.7,0.349,0.176,62,66,65,16,PF,Spurs,3
109,DeMar DeRozan,200,99.8,21.5,6.2,6.3,1.1,0.5,0.470,0.053,87,79,86,10,SF,Spurs,6
110,Rudy Gay,203,104.3,14,6.4,2.4,0.9,0.6,0.520,0.391,73,75,74,22,SF,Spurs,4
111,LaMarcus Aldridge,210,117.9,20.6,8.6,2.6,0.6,1.2,0.512,0.083,86,75,85,12,PF,Spurs,6
112,Jamal Crawford,195,83.9,6.3,1.2,3.3,0.4,0.2,0.281,0.200,62,55,57,11,SG,Suns,3
113,Elie Okobo,190,86.2,6.1,1.9,2.3,0.7,0.1,0.353,0.232,57,55,56,2,PG,Suns,3
114,De'Anthony Melton,193,90.7,5.5,2.6,3.3,1.5,0.5,0.363,0.295,55,60,63,14,PG,Suns,3
115,Mikal Bridges,200,95.2,7.5,2.9,1.6,1.4,0.6,0.444,0.309,55,70,65,25,SF,Suns,3
116,Devin Booker,198,95.2,24.6,3.6,6.7,0.9,0.2,0.448,0.307,86,75,83,1,SG,Suns,5
